Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
0,SI,2021-10-31,94.4,-0.97,5.85,"Graveman, Kendall",624585,608665,strikeout,swinging_strike,,,,,12.0,Jorge Soler strikes out swinging.,W,R,R,ATL,HOU,S,2.0,,2,2,2021,-1.25,1.01,0.350509428370644,4.171954298043858,,,,2,9,Bot,,,,,,,6.203890109845926,-137.27262001542817,-0.8406301024466999,-17.200144554207103,34.98764118119362,-19.58559449059091,3.549,1.627,,,,93.7,2244.0,6.3,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.22,,0.0,0.0,1.0,0.0,0.0,,82,6,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,211.0,-0.001,-0.236,,,,0.236,,-4,-4,0.001,0.001,30,29,31,29,1,4,2.0,1.0,,2.0,1.58,1.25,1.25,48.7,,,,,
1,SI,2021-10-31,95.7,-1.06,5.85,"Graveman, Kendall",624585,608665,,foul,,,,,5.0,Foul,W,R,R,ATL,HOU,S,,,2,2,2021,-1.25,0.93,0.230768892307259,2.31570468588552,,,,2,9,Bot,,,,,,,6.210242633257972,-139.11437146310394,-5.7767872890897465,-17.574529937313045,32.862681617341366,-18.971143761467005,3.549,1.627,181.0,63.8,36.0,95.5,2135.0,6.3,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.15,,,,,,,,82,5,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,218.0,0.0,0.0,,,,0.0,88.0,-4,-4,0.001,0.001,30,29,31,29,1,4,2.0,1.0,,2.0,1.57,1.25,1.25,46.7,,,,,
2,SI,2021-10-31,96.6,-0.89,5.9,"Graveman, Kendall",624585,608665,,ball,,,,,12.0,Ball,W,R,R,ATL,HOU,B,,,1,2,2021,-1.3,0.9,1.5362688569045413,3.473926927344465,,,,2,9,Bot,,,,,,,9.399817536799656,-140.2777070409329,-2.879966253557755,-19.337270808281527,34.31457570112564,-19.86072338307186,3.52610009176415,1.62857186477259,,,,96.1,2214.0,6.3,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.22,,,,,,,,82,4,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,214.0,0.0,0.048,,,,-0.048,,-4,-4,0.001,0.001,30,29,31,29,1,4,2.0,1.0,,2.0,1.57,1.3,1.3,49.2,,,,,
3,SI,2021-10-31,95.4,-1.02,5.88,"Graveman, Kendall",624585,608665,,foul,,,,,7.0,Foul,W,R,R,ATL,HOU,S,,,1,1,2021,-1.37,1.04,-0.3088500027279073,2.127359142920495,,,,2,9,Bot,,,,,,,4.964706069414081,-138.77426221166783,-6.57864321079183,-18.874761405063147,31.607601337605903,-17.423583529941634,3.549,1.627,73.0,35.8,32.0,95.5,2260.0,6.4,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.09,,,,,,,,82,3,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,214.0,0.0,-0.069,,,,0.069,88.0,-4,-4,0.001,0.001,30,29,31,29,1,4,2.0,1.0,,2.0,1.47,1.37,1.37,49.1,,,,,
4,SI,2021-10-31,96.0,-1.08,5.82,"Graveman, Kendall",624585,608665,,called_strike,,,,,9.0,Called Strike,W,R,R,ATL,HOU,S,,,1,0,2021,-1.35,0.94,0.4702800674189749,2.323211603903132,,,,2,9,Bot,,,,,,,7.143257746788765,-139.55694825715,-5.7848246177132125,-19.19264710030496,30.90543033999134,-18.80033277718672,3.57088502597232,1.76368647919513,,,,96.1,2190.0,6.4,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.11,,,,,,,,82,2,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,216.0,0.0,-0.051,,,,0.051,,-4,-4,0.001,0.001,30,29,31,29,1,4,2.0,1.0,,2.0,1.54,1.35,1.35,47.0,,,,,
5,SL,2021-10-31,85.8,-1.12,5.76,"Graveman, Kendall",624585,608665,,ball,,,,,14.0,Ball,W,R,R,ATL,HOU,B,,,0,0,2021,0.48,0.01,2.420363526119888,1.1132160057703722,,,,2,9,Bot,,,,,,,7.418184737077191,-124.68655741212258,-4.726264722530301,3.5133120161899405,25.70706928910491,-31.290213150035854,3.45890841461701,1.65109562296238,,,,85.9,2531.0,6.5,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.02,,,,,,,,82,1,Slider,5,9,5,9,9,5,5,9,Infield shift,Standard,63.0,0.0,0.04,,,,-0.04,,-4,-4,0.001,0.001,30,29,31,29,1,4,2.0,1.0,,2.0,3.1,-0.48,-0.48,47.3,,,,,
6,SI,2021-10-31,94.6,-1.07,5.76,"Graveman, Kendall",501303,608665,field_out,hit_into_play,,,,,5.0,Ehire Adrianza lines out sharply to center fielder Jose Siri.,W,L,R,ATL,HOU,X,8.0,line_drive,3,2,2021,-1.36,0.97,-0.0468786396137745,2.2605659288892173,,,,1,9,Bot,101.86,71.58,,,,,5.726419366337924,-137.60384335704302,-5.598555126071827,-18.549459112802225,32.21179760484094,-18.80982321182346,3.411,1.565,323.0,103.2,17.0,94.7,2222.0,6.5,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.02,0.493,0.572,0.0,1.0,0.0,0.0,5.0,81,6,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,221.0,-0.008,-0.337,,,0.901,0.337,103.2,-4,-4,0.009,0.009,30,31,31,32,1,0,2.0,2.0,,,1.59,1.36,-1.36,47.7,,,,,
7,SI,2021-10-31,94.3,-1.24,5.79,"Graveman, Kendall",501303,608665,,foul,,,,,11.0,Foul,W,L,R,ATL,HOU,S,,,3,1,2021,-1.33,1.09,-0.9361534076215648,3.1941134901698187,,,,1,9,Bot,,,,,,,3.766008604645963,-137.19191333170423,-3.449458251994808,-17.5981624150871,32.216481324087226,-17.875281945627503,3.411,1.565,247.0,74.2,39.0,94.2,2173.0,6.4,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.1,,,,,,,,81,5,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,218.0,-0.002,-0.103,,,,0.103,88.0,-4,-4,0.011,0.011,30,31,31,32,1,0,2.0,2.0,,,1.49,1.33,-1.33,46.8,,,,,
8,SI,2021-10-31,94.0,-1.16,5.77,"Graveman, Kendall",501303,608665,,called_strike,,,,,2.0,Called Strike,W,L,R,ATL,HOU,S,,,3,0,2021,-1.31,1.02,-0.0138743541887462,3.3630711093036654,,,,1,9,Bot,,,,,,,5.879557174415972,-136.7595039894527,-2.77685623182318,-17.797621798370585,30.859417900439816,-18.956925327930087,3.31887450339429,1.46843568752437,,,,94.0,2163.0,6.4,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.13,,,,,,,,81,4,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,220.0,-0.003,-0.078,,,,0.078,,-4,-4,0.014,0.014,30,31,31,32,1,0,2.0,2.0,,,1.56,1.31,-1.31,46.4,,,,,
9,SI,2021-10-31,95.7,-1.21,5.77,"Graveman, Kendall",501303,608665,,ball,,,,,11.0,Ball,W,L,R,ATL,HOU,B,,,2,0,2021,-1.4,1.02,-0.6569970420900628,3.677235446782033,,,,1,9,Bot,,,,,,,4.652495042541845,-139.30359903423758,-2.2166596091298967,-19.32219007285729,32.31489727338795,-18.5969177565238,3.40850747123251,1.58110149586425,,,,95.8,2266.0,6.4,660911,455117,493329,514888,608324,621043,488726,642350,663656,54.1,,,,,,,,81,3,Sinker,5,9,5,9,9,5,5,9,Infield shift,Standard,218.0,0.004,0.14,,,,-0.14,,-4,-4,0.01,0.01,30,31,31,32,1,0,2.0,2.0,,,1.47,1.4,-1.4,46.2,,,,,
